 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,14.531,8.922,129.647,2516
2,H2BRFP:background,32.772,9.011,295.313,5731
3,H2BRFP:background,46.067,8.729,402.132,7804
4,H2BRFP:Cntl,3944.390,201.010,792862.243,15386719
5,H2BRFP:Expt,3615.069,215.435,778812.089,15114054
6,BREH2Bd2EGFP:background,14.531,7.624,110.787,2150
7,BREH2Bd2EGFP:background,32.772,7.392,242.238,4701
8,BREH2Bd2EGFP:background,46.067,7.281,335.402,6509
9,BREH2Bd2EGFP:Cntl,3944.390,130.564,514995.151,9994278
10,BREH2Bd2EGFP:Expt,3615.069,107.447,388428.385,7538054
