 ,Label,Area,Mean,IntDen,RawIntDen
1,C2-ActiveImage:background,0.905,316.663,286.642,29133.000
2,C2-ActiveImage:0004-0204-0626,137.295,770.470,105781.512,10751139.000
3,C2-ActiveImage:0004-0101-0725,216.145,489.988,105908.604,10764056.000
4,C2-ActiveImage:0004-0882-0829,220.524,604.531,133313.474,13549359.000
5,C2-ActiveImage:0004-1018-0247,150.696,654.579,98642.194,10025532.000
6,C2-ActiveImage:0004-0584-0391,114.744,578.520,66381.483,6746704.000
7,C2-ActiveImage:0004-0718-0201,263.186,599.692,157830.539,16041159.000
