 ,Label,Area,Mean,IntDen,RawIntDen
1,C3-ActiveImage:background,0.876,67.978,59.527,6050
2,C3-ActiveImage:0004-0639-0576,270.280,369.909,99979.072,10161406
3,C3-ActiveImage:0004-0859-0936,294.642,232.252,68431.036,6955011
4,C3-ActiveImage:0004-0966-0183,189.540,694.326,131602.858,13375500
