,Embryo,ExptDate,Cntl CTCF,Expt CTCF,Expt/Cntl CTCF,Norm Cntl CTCF,Norm Expt CTCF,EmbID
0,Emb1,20200115,7514271.2246406665,2690888.005036667,0.35810365697378,1.9375519306115545,0.6938444319286053,20200115Emb1
1,Emb2,20200115,1015156.6142076667,479064.3710596665,0.47191178617653784,0.2617577405618882,0.12352656289409546,20200115Emb2
2,Emb3,20200115,6020997.167153,2205230.735679667,0.36625673031538725,1.5525117921175204,0.5686178927570452,20200115Emb3
3,Emb4,20200115,7071924.940326,1749605.944714,0.2474016564764822,1.8234931121911806,0.4511352165295539,20200115Emb4
4,Emb5,20200115,1235124.380543,522074.09508900007,0.4226894904782623,0.3184763440823138,0.13461660360953295,20200115Emb5
5,Emb6,20200115,1292180.0885259998,568501.9318759999,0.43995565086016347,0.33318813633069067,0.1465880033782539,20200115Emb6
6,Emb7,20200115,2997952.6971946666,1360691.6100533335,0.4538736089220488,0.7730209441048511,0.3508538056731981,20200115Emb7
