,Slice,Count,Total Area,Average Size,%Area,Mean,IntDen,Image,Condition,Tissue,ExptDate,Treatment,Dose,Stains,Embryo,Somites,Section
1,Expt_NC,0,0.0,,0.0,,,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb3_8ss_sec3,Expt,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb3,8ss,sec3
0,Cntl_NC,3,98.833,32.944,3.0980000000000003,255.0,8400.773000000001,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb1_6ss_sec1,Cntl,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb1,6ss,sec1
1,Expt_NC,2,102.594,51.297,4.192,255.0,13080.765,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb1_6ss_sec1,Expt,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb1,6ss,sec1
0,Cntl_NC,0,0.0,,0.0,,,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb3_8ss_sec4,Cntl,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb3,8ss,sec4
1,Expt_NC,0,0.0,,0.0,,,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb3_8ss_sec4,Expt,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb3,8ss,sec4
0,Cntl_NC,0,0.0,,0.0,,,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb5_6ss_sec2,Cntl,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb5,6ss,sec2
1,Expt_NC,0,0.0,,0.0,,,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb5_6ss_sec2,Expt,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb5,6ss,sec2
0,Cntl_NC,3,104.243,34.748000000000005,0.888,255.0,8860.669,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb2_6ss_sec2,Cntl,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb2,6ss,sec2
1,Expt_NC,0,0.0,,0.0,,,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb2_6ss_sec2,Expt,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb2,6ss,sec2
0,Cntl_NC,3,99.193,33.064,2.3209999999999997,255.0,8431.433,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb4_6ss_sec4,Cntl,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb4,6ss,sec4
1,Expt_NC,2,73.686,36.843,1.9180000000000001,255.0,9395.025,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb4_6ss_sec4,Expt,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb4,6ss,sec4
0,Cntl_NC,1,22.93,22.93,0.26,255.0,5847.253000000001,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb2_6ss_sec3,Cntl,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb2,6ss,sec3
1,Expt_NC,0,0.0,,0.0,,,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb2_6ss_sec3,Expt,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb2,6ss,sec3
0,Cntl_NC,2,50.961999999999996,25.480999999999998,1.2819999999999998,255.0,6497.678000000001,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb5_6ss_sec3,Cntl,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb5,6ss,sec3
1,Expt_NC,1,29.165,29.165,0.8270000000000001,255.0,7437.181,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb5_6ss_sec3,Expt,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb5,6ss,sec3
0,Cntl_NC,0,0.0,,0.0,,,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb5_6ss_sec4,Cntl,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb5,6ss,sec4
1,Expt_NC,1,30.454,30.454,1.04,255.0,7765.678000000001,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb5_6ss_sec4,Expt,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb5,6ss,sec4
0,Cntl_NC,1,28.392,28.392,0.342,255.0,7240.081999999999,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb2_6ss_sec4,Cntl,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb2,6ss,sec4
1,Expt_NC,0,0.0,,0.0,,,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb2_6ss_sec4,Expt,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb2,6ss,sec4
0,Cntl_NC,3,94.35,31.45,2.331,255.0,8019.715999999999,20200610_SMPD3MO_0;8mM_Pax7;H2BRFP;PH3;DAPI_Emb4_6ss_sec3,Cntl,NC,20200610,SMPD3MO,0;8mM,Pax7;H2BRFP;PH3;DAPI,Emb4,6ss,sec3
