Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,2,1.873,0.937,0.237,255,238.840
2,5,1.912,0.382,0.366,255,97.527
3,0,0.000,NaN,0.000,NaN,NaN
4,1,3.499,3.499,0.813,255,892.335
5,9,6.075,0.675,0.545,255,172.127
6,0,0.000,NaN,0.000,NaN,NaN
7,9,9.041,1.005,0.975,255,256.164
8,2,1.938,0.969,0.395,255,247.134
9,1,0.390,0.390,0.053,255,99.517
10,1,0.611,0.611,0.130,255,155.910
11,3,3.148,1.049,0.589,255,267.590
12,5,6.309,1.262,1.326,255,321.771
13,0,0.000,NaN,0.000,NaN,NaN
14,2,5.789,2.894,1.232,255,738.083
15,3,3.109,1.036,0.502,255,264.273
16,5,6.543,1.309,1.086,255,333.713
17,4,2.810,0.702,0.421,255,179.130
18,9,10.043,1.116,0.856,255,284.545
19,8,6.075,0.759,0.661,255,193.643
