Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,4,2.264,0.566,0.157,255,144.299
2,30,27.461,0.915,1.354,255,233.422
3,15,10.394,0.693,0.882,255,176.698
4,9,9.418,1.046,1.483,255,266.853
5,0,0.000,NaN,0.000,NaN,NaN
6,14,10.368,0.741,1.382,255,188.845
7,10,10.563,1.056,1.756,255,269.359
8,3,3.694,1.231,0.438,255,314.031
9,3,3.616,1.205,0.541,255,307.397
10,8,9.483,1.185,2.019,255,302.282
11,5,6.101,1.220,0.812,255,311.156
12,5,5.906,1.181,1.079,255,301.204
13,9,11.994,1.333,1.680,255,339.832
14,10,7.688,0.769,0.920,255,196.048
15,8,6.608,0.826,0.840,255,210.644
16,0,0.000,NaN,0.000,NaN,NaN
17,7,5.659,0.808,0.794,255,206.142
18,7,5.464,0.781,0.745,255,199.034
19,7,6.179,0.883,1.539,255,225.098
20,5,3.148,0.630,0.415,255,160.554
