Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,3,1.526,0.509,0.164,255,129.727
2,2,5.140,2.570,0.573,255,655.331
3,5,2.757,0.551,0.428,255,140.607
4,1,0.778,0.778,0.140,255,198.357
5,8,6.262,0.783,0.948,255,199.612
6,6,4.618,0.770,0.811,255,196.265
7,5,2.727,0.545,0.738,255,139.101
8,2,2.127,1.063,0.473,255,271.172
9,5,2.954,0.591,0.774,255,150.651
10,5,4.017,0.803,0.582,255,204.885
11,9,7.779,0.864,1.360,255,220.397
12,4,4.785,1.196,1.001,255,305.068
13,4,2.284,0.571,0.417,255,145.629
14,5,2.767,0.553,0.446,255,141.110
15,4,2.265,0.566,0.591,255,144.374
