Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,14,8.104,0.579,0.622,255,147.617
2,14,10.511,0.751,0.943,255,191.451
3,19,13.841,0.728,1.492,255,185.765
4,3,1.925,0.642,0.226,255,163.650
5,6,6.127,1.021,0.965,255,260.402
6,11,11.552,1.050,1.615,255,267.791
7,6,4.800,0.800,0.464,255,204.010
8,15,15.910,1.061,1.945,255,270.465
9,20,12.397,0.620,1.643,255,158.066
10,8,5.659,0.707,0.784,255,180.374
11,7,6.726,0.961,0.713,255,245.001
12,2,4.345,2.172,0.615,255,553.977
13,5,2.875,0.575,0.351,255,146.622
14,6,9.639,1.607,1.366,255,409.678
15,9,10.381,1.153,1.329,255,294.128
16,13,13.022,1.002,2.374,255,255.427
