Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,1,1.067,1.067,0.127,255,272.013
2,1,0.481,0.481,0.085,255,122.737
3,3,1.457,0.486,0.151,255,123.843
4,4,6.231,1.558,1.199,255,397.238
5,3,3.773,1.258,0.857,255,320.665
6,9,7.194,0.799,1.758,255,203.825
7,0,0.000,NaN,0.000,NaN,NaN
8,2,2.016,1.008,0.399,255,257.085
9,1,0.663,0.663,0.127,255,169.179
10,4,2.094,0.524,0.344,255,133.518
11,4,2.732,0.683,0.615,255,174.155
12,4,3.083,0.771,0.825,255,196.546
13,1,0.390,0.390,0.076,255,99.517
14,1,1.171,1.171,0.333,255,298.551
15,1,1.002,1.002,0.294,255,255.427
16,0,0.000,NaN,0.000,NaN,NaN
