Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,0,0.000,NaN,0.000,NaN,NaN
2,2,1.834,0.917,0.103,255,233.865
3,2,1.769,0.885,0.291,255,225.572
4,0,0.000,NaN,0.000,NaN,NaN
5,0,0.000,NaN,0.000,NaN,NaN
6,3,1.067,0.356,0.097,255,90.671
7,2,2.042,1.021,0.165,255,260.402
8,1,2.133,2.133,0.263,255,544.026
9,0,0.000,NaN,0.000,NaN,NaN
10,2,0.872,0.436,0.078,255,111.127
11,0,0.000,NaN,0.000,NaN,NaN
12,3,2.264,0.755,0.254,255,192.399
13,3,6.335,2.112,0.853,255,538.497
14,3,9.405,3.135,1.003,255,799.452
15,1,1.249,1.249,0.177,255,318.454
