Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,2,2.979,1.490,0.203,255,379.823
2,1,1.782,1.782,0.339,255,454.460
3,0,0.000,NaN,0.000,NaN,NaN
4,1,0.494,0.494,0.054,255,126.055
5,7,10.550,1.507,1.448,255,384.325
6,0,0.000,NaN,0.000,NaN,NaN
7,5,6.075,1.215,0.694,255,309.829
8,5,2.615,0.523,0.415,255,133.353
9,1,0.650,0.650,0.087,255,165.861
10,7,5.256,0.751,1.121,255,191.451
11,0,0.000,NaN,0.000,NaN,NaN
12,5,5.360,1.072,1.292,255,273.340
13,6,2.654,0.442,0.459,255,112.786
14,6,3.161,0.527,0.852,255,134.348
15,0,0.000,NaN,0.000,NaN,NaN
16,5,5.724,1.145,1.125,255,291.916
