Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,0,0.000,NaN,0.000,NaN,NaN
2,4,7.155,1.789,2.133,255,456.119
3,5,5.516,1.103,1.073,255,281.301
4,2,3.564,1.782,0.542,255,454.460
5,3,2.966,0.989,0.618,255,252.109
6,4,2.563,0.641,0.534,255,163.374
7,2,4.605,2.303,0.791,255,587.149
8,1,0.924,0.924,0.174,255,235.523
9,2,1.054,0.527,0.308,255,134.348
10,3,1.483,0.494,0.258,255,126.055
11,8,4.371,0.546,1.140,255,139.324
12,2,0.768,0.384,0.122,255,97.858
13,8,5.464,0.683,0.942,255,174.155
14,8,3.473,0.434,0.499,255,110.713
