Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,1,0.423,0.423,0.035,255,107.966
2,4,6.656,1.664,0.982,255,424.333
3,7,3.653,0.522,0.582,255,133.075
4,7,6.509,0.930,0.804,255,237.096
5,8,4.894,0.612,0.789,255,155.986
6,4,2.560,0.640,0.189,255,163.205
7,3,5.169,1.723,0.511,255,439.398
8,2,2.501,1.251,0.498,255,318.878
9,5,4.195,0.839,0.907,255,213.924
10,4,3.249,0.812,0.682,255,207.145
11,2,0.689,0.345,0.160,255,87.880
12,1,1.369,1.369,0.234,255,349.008
13,2,2.215,1.108,0.511,255,282.470
14,12,10.122,0.844,1.362,255,215.096
15,4,2.639,0.660,0.319,255,168.227
16,6,4.480,0.747,0.413,255,190.406
17,3,2.826,0.942,0.425,255,240.204
18,5,3.958,0.792,1.313,255,201.872
19,4,3.712,0.928,1.031,255,236.647
