Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,5,5.841,1.168,0.646,255,297.887
2,4,4.371,1.093,0.412,255,278.647
3,9,5.997,0.666,0.772,255,169.916
4,0,0.000,NaN,0.000,NaN,NaN
5,13,10.576,0.814,1.166,255,207.454
6,12,10.706,0.892,1.477,255,227.507
7,7,9.314,1.331,1.137,255,339.305
8,8,6.478,0.810,0.488,255,206.497
9,27,16.196,0.600,1.582,255,152.961
10,15,13.724,0.915,1.316,255,233.312
11,3,2.758,0.919,0.571,255,234.417
12,7,9.405,1.344,1.554,255,342.622
13,9,9.783,1.087,1.328,255,277.173
14,3,3.538,1.179,0.782,255,300.762
15,8,4.501,0.563,0.573,255,143.470
16,1,1.574,1.574,0.253,255,401.385
