Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,11,7.298,0.663,0.949,255,169.179
2,4,4.566,1.142,1.039,255,291.087
3,6,4.774,0.796,0.787,255,202.904
4,2,2.823,1.411,0.252,255,359.919
5,6,2.927,0.488,0.435,255,124.396
6,9,8.469,0.941,1.614,255,239.946
7,7,4.397,0.628,0.567,255,160.175
8,1,0.937,0.937,0.166,255,238.840
9,0,0.000,NaN,0.000,NaN,NaN
10,7,10.329,1.476,0.998,255,376.269
11,3,3.577,1.192,0.408,255,304.079
12,11,6.179,0.562,0.500,255,143.244
13,6,4.553,0.759,0.489,255,193.505
14,2,1.288,0.644,0.186,255,164.203
15,16,15.181,0.949,1.161,255,241.950
