Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,1,0.325,0.325,0.024,255,82.931
2,5,6.830,1.366,0.360,255,348.309
3,2,2.185,1.093,0.176,255,278.647
4,4,5.984,1.496,0.894,255,381.481
5,7,10.498,1.500,1.756,255,382.429
6,2,1.483,0.741,0.181,255,189.082
7,2,3.265,1.633,0.162,255,416.312
8,11,9.561,0.869,0.614,255,221.651
9,6,10.615,1.769,1.251,255,451.143
10,1,0.377,0.377,0.053,255,96.200
11,5,9.483,1.897,1.557,255,483.652
12,6,8.677,1.446,1.189,255,368.765
13,7,6.817,0.974,0.859,255,248.318
