Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,11,9.288,0.844,1.233,255,215.318
2,9,6.921,0.769,0.982,255,196.085
3,8,8.495,1.062,0.959,255,270.769
4,4,5.425,1.356,0.814,255,345.821
5,10,9.783,0.978,1.262,255,249.456
6,11,12.202,1.109,1.513,255,282.869
7,8,6.686,0.836,0.530,255,213.132
8,3,2.680,0.893,0.311,255,227.783
9,10,8.755,0.875,0.984,255,223.249
10,8,5.646,0.706,0.631,255,179.960
11,0,0.000,NaN,0.000,NaN,NaN
12,2,1.353,0.676,0.171,255,172.496
13,9,6.895,0.766,0.654,255,195.348
14,9,9.262,1.029,1.404,255,262.430
15,1,1.665,1.665,0.236,255,424.605
16,12,16.950,1.413,2.083,255,360.196
17,7,8.469,1.210,1.645,255,308.502
