Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,3,4.189,1.396,0.704,255,356.049
2,7,5.503,0.786,0.827,255,200.455
3,15,13.438,0.896,1.554,255,228.446
4,8,4.332,0.541,0.336,255,138.080
5,5,4.566,0.913,0.608,255,232.869
6,4,4.852,1.213,0.357,255,309.332
7,6,2.146,0.358,0.241,255,91.224
8,2,1.210,0.605,0.161,255,154.251
9,0,0.000,NaN,0.000,NaN,NaN
10,6,6.673,1.112,1.305,255,283.623
11,10,9.327,0.933,0.809,255,237.845
12,3,3.707,1.236,0.855,255,315.137
13,11,10.381,0.944,2.198,255,240.650
14,1,0.351,0.351,0.050,255,89.565
15,2,0.885,0.442,0.218,255,112.786
16,14,9.509,0.679,0.340,255,173.207
17,19,14.791,0.778,1.115,255,198.510
