Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,5,4.618,0.924,0.652,255,235.523
2,1,1.834,1.834,0.164,255,467.729
3,0,0.000,NaN,0.000,NaN,NaN
4,2,2.680,1.340,0.194,255,341.675
5,9,13.698,1.522,1.059,255,388.116
6,16,18.537,1.159,1.480,255,295.441
7,2,4.189,2.094,0.752,255,534.074
8,3,2.628,0.876,0.281,255,223.360
9,1,2.264,2.264,0.485,255,577.198
10,1,4.397,4.397,0.786,255,1121.223
11,10,10.602,1.060,1.895,255,270.354
12,14,8.989,0.642,1.164,255,163.729
13,1,1.223,1.223,0.227,255,311.819
14,7,4.774,0.682,0.748,255,173.918
