Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,7,3.096,0.442,0.285,255,112.786
2,12,8.885,0.740,0.843,255,188.806
3,5,3.421,0.684,0.337,255,174.486
4,0,0.000,NaN,0.000,NaN,NaN
5,2,1.535,0.768,0.122,255,195.716
6,7,4.033,0.576,0.252,255,146.906
7,11,12.137,1.103,1.593,255,281.361
8,11,9.718,0.883,0.874,255,225.270
9,11,13.178,1.198,1.426,255,305.487
10,4,4.020,1.005,0.426,255,256.256
11,7,8.937,1.277,0.731,255,325.562
12,6,5.815,0.969,0.622,255,247.134
13,3,2.888,0.963,0.606,255,245.475
14,2,3.304,1.652,0.566,255,421.288
15,8,4.787,0.598,1.207,255,152.593
16,14,9.561,0.683,0.857,255,174.155
17,8,7.909,0.989,1.902,255,252.109
