Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,17,19.266,1.133,1.882,255,288.989
2,14,11.122,0.794,1.191,255,202.588
3,9,6.543,0.727,0.760,255,185.396
4,14,13.295,0.950,2.149,255,242.158
5,9,5.802,0.645,0.789,255,164.387
6,11,18.329,1.666,2.750,255,424.907
7,15,9.965,0.664,0.924,255,169.400
8,15,15.246,1.016,2.527,255,259.186
9,2,1.210,0.605,0.127,255,154.251
10,23,17.575,0.764,1.391,255,194.851
11,9,10.056,1.117,1.143,255,284.913
12,16,19.006,1.188,2.168,255,302.904
13,14,16.352,1.168,1.961,255,297.840
14,11,10.992,0.999,2.062,255,254.823
15,13,12.215,0.940,1.963,255,239.606
16,5,4.345,0.869,1.020,255,221.591
17,14,14.362,1.026,1.725,255,261.587
18,12,8.404,0.700,0.921,255,178.577
19,7,5.308,0.758,1.214,255,193.347
20,8,4.293,0.537,0.934,255,136.836
21,28,24.977,0.892,1.671,255,227.467
22,8,9.809,1.226,1.490,255,312.649
23,14,14.349,1.025,1.632,255,261.350
24,12,10.680,0.890,1.277,255,226.954
25,10,8.404,0.840,1.342,255,214.293
