Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,11,7.987,0.726,0.425,255,185.162
2,16,11.799,0.737,0.619,255,188.045
3,17,11.968,0.704,0.648,255,179.521
4,2,1.275,0.637,0.105,255,162.544
5,7,5.893,0.842,0.812,255,214.672
6,12,10.199,0.850,0.910,255,216.726
7,14,10.550,0.754,1.311,255,192.162
8,14,10.173,0.727,0.432,255,185.291
9,7,5.295,0.756,0.387,255,192.873
10,9,4.670,0.519,0.393,255,132.321
11,5,6.166,1.233,0.694,255,314.473
12,9,11.109,1.234,1.760,255,314.768
13,6,9.731,1.622,1.411,255,413.548
14,11,11.708,1.064,1.961,255,271.410
15,4,1.431,0.358,0.095,255,91.224
