Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,5,4.839,0.968,0.909,255,246.802
2,6,9.145,1.524,1.462,255,388.669
3,5,4.449,0.890,0.765,255,226.898
4,2,1.054,0.527,0.118,255,134.348
5,2,4.787,2.394,0.623,255,610.370
6,2,3.018,1.509,0.517,255,384.799
7,8,7.155,0.894,1.375,255,228.059
8,4,8.000,2.000,1.307,255,510.024
9,12,8.313,0.693,1.262,255,176.642
10,10,12.553,1.255,1.593,255,320.113
11,3,1.964,0.655,0.381,255,166.967
12,2,3.330,1.665,0.594,255,424.605
13,8,9.978,1.247,1.766,255,318.039
14,6,3.564,0.594,0.762,255,151.487
15,3,2.576,0.859,0.469,255,218.937
16,8,5.776,0.722,1.192,255,184.106
17,7,4.657,0.665,1.594,255,169.653
18,8,4.800,0.600,0.568,255,153.007
