Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,1,0.872,0.872,0.096,255,222.254
2,18,17.770,0.987,1.619,255,251.741
3,15,11.552,0.770,1.664,255,196.380
4,12,15.168,1.264,2.269,255,322.324
5,3,2.394,0.798,0.233,255,203.457
6,1,3.551,3.551,0.541,255,905.603
7,8,11.903,1.488,1.572,255,379.408
8,4,3.304,0.826,0.587,255,210.644
9,4,9.353,2.338,1.798,255,596.272
10,1,0.273,0.273,0.036,255,69.662
11,1,0.533,0.533,0.064,255,136.006
12,6,4.137,0.689,0.761,255,175.813
13,12,10.732,0.894,1.407,255,228.059
14,6,9.093,1.516,2.191,255,386.457
15,3,2.042,0.681,0.362,255,173.602
16,2,5.516,2.758,1.581,255,703.253
17,5,4.475,0.895,0.827,255,228.225
