Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,7,4.176,0.597,0.715,255,152.119
2,1,0.351,0.351,0.068,255,89.565
3,8,4.787,0.598,0.799,255,152.593
4,3,5.360,1.787,1.030,255,455.566
5,0,0.000,NaN,0.000,NaN,NaN
6,1,0.820,0.820,0.111,255,208.985
7,1,0.442,0.442,0.082,255,112.786
8,0,0.000,NaN,0.000,NaN,NaN
9,9,9.783,1.087,1.856,255,277.173
10,2,4.215,2.107,0.497,255,537.391
11,3,4.384,1.461,0.497,255,372.635
12,1,0.611,0.611,0.126,255,155.910
13,1,0.572,0.572,0.115,255,145.958
14,2,2.146,1.073,0.336,255,273.671
15,0,0.000,NaN,0.000,NaN,NaN
16,1,1.093,1.093,0.235,255,278.647
17,6,4.293,0.715,0.939,255,182.448
18,3,4.267,1.422,0.908,255,362.684
19,2,1.678,0.839,0.399,255,213.961
