Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,1,0.768,0.768,0.023,255,195.716
2,12,9.809,0.817,0.365,255,208.433
3,3,1.990,0.663,0.064,255,169.179
4,5,5.750,1.150,0.493,255,293.243
5,0,0.000,NaN,0.000,NaN,NaN
