Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,10,10.250,1.025,1.530,255,261.379
2,7,3.919,0.560,0.636,255,142.760
3,1,1.004,1.004,0.161,255,256.107
4,5,4.027,0.805,0.696,255,205.387
5,6,2.777,0.463,0.410,255,118.010
6,7,4.086,0.584,0.887,255,148.857
7,5,7.021,1.404,1.208,255,358.047
8,5,3.919,0.784,0.775,255,199.864
9,6,2.796,0.466,0.518,255,118.847
10,3,2.875,0.958,0.466,255,244.389
11,6,3.033,0.505,0.829,255,128.890
12,3,3.840,1.280,0.633,255,326.410
13,4,1.831,0.458,0.487,255,116.754
14,5,4.401,0.880,0.568,255,224.470
15,1,0.394,0.394,0.098,255,100.434
16,10,5.957,0.596,1.023,255,151.906
17,8,6.193,0.774,0.822,255,197.415
18,6,2.727,0.455,0.621,255,115.917
