Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,11,9.171,0.834,1.057,255,212.604
2,1,1.873,1.873,0.207,255,477.681
3,6,3.747,0.624,0.273,255,159.227
4,0,0.000,NaN,0.000,NaN,NaN
5,7,7.155,1.022,0.762,255,260.639
6,3,9.002,3.001,1.088,255,765.174
7,8,8.456,1.057,0.825,255,269.525
8,7,8.508,1.215,1.695,255,309.924
9,8,11.279,1.410,1.700,255,359.505
10,7,6.882,0.983,1.020,255,250.688
11,11,9.926,0.902,1.141,255,230.095
12,10,9.809,0.981,0.925,255,250.119
13,5,12.566,2.513,1.538,255,640.889
14,14,11.331,0.809,1.265,255,206.379
