Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,5,5.581,1.116,0.634,255,284.618
2,10,11.435,1.143,0.761,255,291.584
3,14,23.377,1.670,1.519,255,425.790
4,1,1.756,1.756,0.192,255,447.826
5,3,4.501,1.500,0.579,255,382.587
6,1,0.377,0.377,0.050,255,96.200
7,7,13.178,1.883,1.285,255,480.050
8,0,0.000,NaN,0.000,NaN,NaN
9,1,0.364,0.364,0.107,255,92.882
10,1,0.312,0.312,0.048,255,79.613
11,9,6.439,0.715,1.310,255,182.448
12,2,1.340,0.670,0.245,255,170.837
13,5,10.485,2.097,1.475,255,534.737
14,4,5.971,1.493,0.467,255,380.652
15,9,10.433,1.159,0.835,255,295.602
