Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,11,12.644,1.149,0.999,255,293.122
2,0,0.000,NaN,0.000,NaN,NaN
3,0,0.000,NaN,0.000,NaN,NaN
4,13,11.396,0.877,1.340,255,223.530
5,15,7.532,0.502,0.777,255,128.045
6,6,5.789,0.965,0.495,255,246.028
7,9,6.335,0.704,0.567,255,179.499
8,5,7.207,1.441,1.422,255,367.549
9,5,5.854,1.171,0.630,255,298.551
10,12,8.404,0.700,0.749,255,178.577
11,11,7.337,0.667,0.519,255,170.083
12,11,6.335,0.576,0.729,255,146.863
13,14,9.002,0.643,0.917,255,163.966
14,3,7.103,2.368,0.860,255,603.736
15,2,1.626,0.813,0.319,255,207.327
16,12,9.444,0.787,1.206,255,200.692
