Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,11,9.132,0.830,0.652,255,211.700
2,7,6.973,0.996,1.003,255,254.005
3,5,2.992,0.598,0.621,255,152.593
4,1,0.663,0.663,0.052,255,169.179
5,4,6.491,1.623,0.900,255,413.824
6,3,5.386,1.795,0.705,255,457.778
7,2,3.825,1.912,0.301,255,487.633
8,5,3.929,0.786,0.377,255,200.361
9,4,2.966,0.741,0.565,255,189.082
10,6,8.625,1.437,1.227,255,366.554
11,9,6.309,0.701,0.936,255,178.762
12,2,1.015,0.507,0.233,255,129.372
13,9,6.075,0.675,1.074,255,172.127
14,5,5.099,1.020,0.469,255,260.071
15,4,2.107,0.527,0.476,255,134.348
16,5,2.849,0.570,0.528,255,145.295
17,7,5.073,0.725,0.627,255,184.817
18,9,6.257,0.695,1.361,255,177.287
