 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,42.202,18.230,769.328,14930.000
2,H2BRFP:background,12.985,17.548,227.861,4422.000
3,H2BRFP:background,38.028,19.119,727.074,14110.000
4,H2BRFP:Cntl,2800.344,159.176,445747.338,8650417.000
5,H2BRFP:Expt,2143.194,143.581,307721.449,5971811.000
6,TCFLefH2Bd2EGFP:background,42.202,6.814,287.583,5581.000
7,TCFLefH2Bd2EGFP:background,12.985,6.821,88.578,1719.000
8,TCFLefH2Bd2EGFP:background,38.028,6.907,262.643,5097.000
9,TCFLefH2Bd2EGFP:Cntl,2800.344,87.719,245642.505,4767073.000
10,TCFLefH2Bd2EGFP:Expt,2143.194,34.372,73666.168,1429606.000
