,Target,EmbID,Somites,Cntl CTCF,Expt CTCF,CTCF Ratio,Norm Cntl CTCF,Norm Expt CTCF
3,TCF/Lef,20210909_Emb3,8ss,1324173.7705050833,595787.8135056667,0.48644555266949013,1.3749505468700771,0.618633897034286
4,TCF/Lef,20210909_Emb4,8ss,612176.9782494167,434880.898585,0.7244728332586237,0.6356515208002117,0.4515568444651509
5,TCF/Lef,20210909_Emb5,8ss,812465.9890320834,574122.7710193334,0.703251090467623,0.8436208153457853,0.5961380866821558
6,TCF/Lef,20210909_Emb6,8ss,1103463.6908278666,501329.7002204,0.5527307715115499,1.1457771169839257,0.5205536922977472
0,TCF/Lef,20200807_Emb1,8ss,4789956.739542556,3533907.432973889,0.7536704636573498,0.881222038042349,0.6501430554956662
1,TCF/Lef,20200817_Emb1,8ss,6473581.684451083,3625286.539650333,0.5495960654592734,1.1909633334079766,0.6669543310454314
2,TCF/Lef,20200821_Emb1,8ss,5043214.696423777,2980948.9957367773,0.6402127768249667,0.9278146285496747,0.5484137106370454
