Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,0,0.000,NaN,0.000,NaN,NaN
2,0,0.000,NaN,0.000,NaN,NaN
3,2,2.496,1.248,0.399,255,318.186
4,1,0.631,0.631,0.081,255,160.822
5,1,1.227,1.227,0.193,255,312.998
6,0,0.000,NaN,0.000,NaN,NaN
7,0,0.000,NaN,0.000,NaN,NaN
8,0,0.000,NaN,0.000,NaN,NaN
9,0,0.000,NaN,0.000,NaN,NaN
10,0,0.000,NaN,0.000,NaN,NaN
11,0,0.000,NaN,0.000,NaN,NaN
12,0,0.000,NaN,0.000,NaN,NaN
13,0,0.000,NaN,0.000,NaN,NaN
14,0,0.000,NaN,0.000,NaN,NaN
15,2,2.991,1.495,0.682,255,381.304
16,0,0.000,NaN,0.000,NaN,NaN
17,0,0.000,NaN,0.000,NaN,NaN
18,0,0.000,NaN,0.000,NaN,NaN
19,0,0.000,NaN,0.000,NaN,NaN
20,0,0.000,NaN,0.000,NaN,NaN
21,0,0.000,NaN,0.000,NaN,NaN
22,0,0.000,NaN,0.000,NaN,NaN
23,0,0.000,NaN,0.000,NaN,NaN
24,0,0.000,NaN,0.000,NaN,NaN
25,0,0.000,NaN,0.000,NaN,NaN
26,0,0.000,NaN,0.000,NaN,NaN
27,0,0.000,NaN,0.000,NaN,NaN
