Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,0,0.000,NaN,0.000,NaN,NaN
2,1,2.279,2.279,0.482,255,581.035
3,1,1.756,1.756,0.309,255,447.881
4,0,0.000,NaN,0.000,NaN,NaN
5,0,0.000,NaN,0.000,NaN,NaN
6,0,0.000,NaN,0.000,NaN,NaN
7,0,0.000,NaN,0.000,NaN,NaN
8,0,0.000,NaN,0.000,NaN,NaN
9,0,0.000,NaN,0.000,NaN,NaN
10,1,0.509,0.509,0.077,255,129.695
11,0,0.000,NaN,0.000,NaN,NaN
12,0,0.000,NaN,0.000,NaN,NaN
13,1,1.621,1.621,0.411,255,413.296
14,0,0.000,NaN,0.000,NaN,NaN
15,0,0.000,NaN,0.000,NaN,NaN
16,0,0.000,NaN,0.000,NaN,NaN
17,0,0.000,NaN,0.000,NaN,NaN
18,0,0.000,NaN,0.000,NaN,NaN
19,0,0.000,NaN,0.000,NaN,NaN
20,0,0.000,NaN,0.000,NaN,NaN
21,0,0.000,NaN,0.000,NaN,NaN
22,0,0.000,NaN,0.000,NaN,NaN
23,1,1.560,1.560,0.209,255,397.732
24,0,0.000,NaN,0.000,NaN,NaN
25,0,0.000,NaN,0.000,NaN,NaN
26,1,1.261,1.261,0.365,255,321.644
27,0,0.000,NaN,0.000,NaN,NaN
28,0,0.000,NaN,0.000,NaN,NaN
29,0,0.000,NaN,0.000,NaN,NaN
30,0,0.000,NaN,0.000,NaN,NaN
31,1,1.316,1.316,0.177,255,335.478
32,1,0.475,0.475,0.116,255,121.049
33,0,0.000,NaN,0.000,NaN,NaN
34,0,0.000,NaN,0.000,NaN,NaN
35,0,0.000,NaN,0.000,NaN,NaN
