Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,2,1.587,0.793,0.273,255,202.325
2,6,3.967,0.661,0.573,255,168.604
3,1,0.604,0.604,0.167,255,153.905
4,9,5.371,0.597,1.100,255,152.176
5,11,9.670,0.879,1.785,255,224.176
6,3,3.981,1.327,0.807,255,338.361
7,6,3.418,0.570,1.107,255,145.259
8,4,2.482,0.621,1.140,255,158.228
9,6,4.740,0.790,1.236,255,201.460
10,3,1.858,0.619,0.496,255,157.940
11,1,0.543,0.543,0.163,255,138.342
12,4,2.760,0.690,0.613,255,175.953
13,13,7.860,0.605,1.715,255,154.171
14,9,7.575,0.842,1.714,255,214.622
15,1,0.488,0.488,0.090,255,124.507
16,4,2.190,0.548,0.759,255,139.639
17,5,3.391,0.678,1.159,255,172.927
18,5,2.353,0.471,0.640,255,120.011
19,9,6.653,0.739,1.630,255,188.490
20,2,2.896,1.448,0.522,255,369.199
21,11,9.575,0.870,3.250,255,221.975
22,4,3.187,0.797,0.762,255,203.189
23,5,2.238,0.448,0.747,255,114.132
24,10,4.516,0.452,0.948,255,115.169
25,7,3.418,0.488,0.851,255,124.507
26,8,5.574,0.697,1.447,255,177.683
