Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,33,36.023,1.092,2.280,255,278.360
2,18,22.243,1.236,0.851,255,315.111
3,9,10.810,1.201,1.271,255,306.273
4,11,16.838,1.531,2.043,255,390.343
5,6,3.906,0.651,0.548,255,166.010
6,9,9.664,1.074,1.242,255,273.801
7,2,2.177,1.088,0.335,255,277.548
8,8,9.386,1.173,1.142,255,299.164
9,15,11.922,0.795,0.783,255,202.670
10,15,12.797,0.853,0.859,255,217.542
11,14,10.735,0.767,1.313,255,195.531
12,13,6.673,0.513,0.821,255,130.892
13,8,6.761,0.845,0.910,255,215.510
14,8,7.643,0.955,1.302,255,243.611
15,7,11.305,1.615,2.043,255,411.813
16,7,3.750,0.536,0.824,255,136.612
17,4,4.523,1.131,0.703,255,288.356
18,5,2.014,0.403,0.553,255,102.719
19,11,12.742,1.158,1.822,255,295.391
20,4,1.906,0.476,0.831,255,121.481
21,3,1.288,0.429,0.239,255,109.520
22,7,6.632,0.947,1.019,255,241.604
23,0,0.000,NaN,0.000,NaN,NaN
24,2,0.760,0.380,0.187,255,96.839
25,7,5.486,0.784,0.997,255,199.854
26,5,2.970,0.594,0.581,255,151.484
27,4,2.319,0.580,0.678,255,147.853
28,3,3.838,1.279,0.666,255,326.256
29,6,3.201,0.533,0.826,255,136.036
30,6,4.883,0.814,1.211,255,207.512
31,5,3.255,0.651,0.626,255,166.010
32,5,3.025,0.605,1.375,255,154.251
33,1,1.126,1.126,0.153,255,287.059
34,5,3.045,0.609,0.689,255,155.288
35,9,11.183,1.243,1.982,255,316.841
36,8,5.724,0.715,1.062,255,182.438
37,12,12.085,1.007,2.182,255,256.797
