Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,1,0.617,0.617,0.099,255,157.364
2,1,0.393,0.393,0.065,255,100.298
3,3,1.912,0.637,0.345,255,162.551
4,0,0.000,NaN,0.000,NaN,NaN
5,0,0.000,NaN,0.000,NaN,NaN
6,0,0.000,NaN,0.000,NaN,NaN
7,0,0.000,NaN,0.000,NaN,NaN
8,0,0.000,NaN,0.000,NaN,NaN
9,0,0.000,NaN,0.000,NaN,NaN
10,0,0.000,NaN,0.000,NaN,NaN
11,0,0.000,NaN,0.000,NaN,NaN
12,1,0.576,0.576,0.152,255,146.988
13,1,0.305,0.305,0.086,255,77.817
14,0,0.000,NaN,0.000,NaN,NaN
15,0,0.000,NaN,0.000,NaN,NaN
16,0,0.000,NaN,0.000,NaN,NaN
17,0,0.000,NaN,0.000,NaN,NaN
18,0,0.000,NaN,0.000,NaN,NaN
19,0,0.000,NaN,0.000,NaN,NaN
20,0,0.000,NaN,0.000,NaN,NaN
21,0,0.000,NaN,0.000,NaN,NaN
22,0,0.000,NaN,0.000,NaN,NaN
23,0,0.000,NaN,0.000,NaN,NaN
24,0,0.000,NaN,0.000,NaN,NaN
25,0,0.000,NaN,0.000,NaN,NaN
26,0,0.000,NaN,0.000,NaN,NaN
27,0,0.000,NaN,0.000,NaN,NaN
28,0,0.000,NaN,0.000,NaN,NaN
29,0,0.000,NaN,0.000,NaN,NaN
30,0,0.000,NaN,0.000,NaN,NaN
