Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,0,0.000,NaN,0.000,NaN,NaN
2,0,0.000,NaN,0.000,NaN,NaN
3,0,0.000,NaN,0.000,NaN,NaN
4,1,0.549,0.549,0.112,255,140.071
5,1,0.644,0.644,0.132,255,164.281
6,0,0.000,NaN,0.000,NaN,NaN
7,0,0.000,NaN,0.000,NaN,NaN
8,0,0.000,NaN,0.000,NaN,NaN
9,0,0.000,NaN,0.000,NaN,NaN
10,0,0.000,NaN,0.000,NaN,NaN
11,0,0.000,NaN,0.000,NaN,NaN
12,0,0.000,NaN,0.000,NaN,NaN
13,0,0.000,NaN,0.000,NaN,NaN
14,0,0.000,NaN,0.000,NaN,NaN
15,0,0.000,NaN,0.000,NaN,NaN
16,0,0.000,NaN,0.000,NaN,NaN
17,0,0.000,NaN,0.000,NaN,NaN
18,1,0.807,0.807,0.174,255,205.783
19,1,0.393,0.393,0.051,255,100.298
20,1,0.827,0.827,0.177,255,210.971
21,0,0.000,NaN,0.000,NaN,NaN
22,0,0.000,NaN,0.000,NaN,NaN
23,1,0.963,0.963,0.156,255,245.556
24,0,0.000,NaN,0.000,NaN,NaN
25,0,0.000,NaN,0.000,NaN,NaN
26,1,0.882,0.882,0.170,255,224.805
27,0,0.000,NaN,0.000,NaN,NaN
28,0,0.000,NaN,0.000,NaN,NaN
29,0,0.000,NaN,0.000,NaN,NaN
30,1,0.644,0.644,0.092,255,164.281
31,0,0.000,NaN,0.000,NaN,NaN
32,0,0.000,NaN,0.000,NaN,NaN
