Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,7,4.550,0.650,0.830,255,165.763
2,6,5.127,0.854,1.113,255,217.888
3,2,2.706,1.353,0.750,255,344.989
4,7,4.272,0.610,0.768,255,155.634
5,12,18.093,1.508,2.470,255,384.474
6,6,3.045,0.507,0.581,255,129.407
7,6,3.547,0.591,0.665,255,150.735
8,6,4.096,0.683,1.151,255,174.080
9,9,7.026,0.781,1.530,255,199.058
10,6,4.238,0.706,0.793,255,180.132
11,2,0.705,0.353,0.158,255,89.922
12,3,1.458,0.486,0.382,255,123.931
13,7,5.561,0.794,0.881,255,202.572
14,7,3.126,0.447,0.720,255,113.885
15,1,0.549,0.549,0.158,255,140.071
16,4,2.095,0.524,0.538,255,133.586
17,7,5.093,0.728,1.606,255,185.526
18,6,4.720,0.787,1.458,255,200.595
19,8,6.680,0.835,1.364,255,212.916
20,8,4.747,0.593,1.260,255,151.311
21,9,7.975,0.886,1.525,255,225.958
22,9,5.242,0.582,1.038,255,148.525
23,8,5.988,0.749,1.098,255,190.868
24,6,2.950,0.492,0.511,255,125.372
25,9,11.427,1.270,2.618,255,323.758
