Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,10,8.395,0.840,2.008,255,214.084
2,6,3.058,0.510,0.564,255,129.983
3,1,0.285,0.285,0.072,255,72.629
4,5,2.787,0.557,0.740,255,142.146
5,3,2.645,0.882,0.570,255,224.805
6,5,4.333,0.867,1.119,255,221.001
7,4,3.289,0.822,0.854,255,209.674
8,12,7.249,0.604,1.360,255,154.049
9,7,10.721,1.532,1.780,255,390.568
10,6,2.224,0.371,0.407,255,94.533
11,10,4.998,0.500,1.563,255,127.447
12,7,5.554,0.793,2.309,255,202.325
13,8,6.164,0.771,1.307,255,196.488
14,9,4.991,0.555,1.225,255,141.416
15,4,4.544,1.136,1.681,255,289.653
16,9,8.192,0.910,2.388,255,232.107
17,12,10.728,0.894,2.155,255,227.975
18,1,1.370,1.370,0.339,255,349.313
19,8,4.591,0.574,1.055,255,146.340
20,4,3.730,0.932,0.958,255,237.775
21,4,3.730,0.932,0.958,255,237.775
22,4,3.730,0.932,0.958,255,237.775
23,4,3.730,0.932,0.958,255,237.775
24,4,3.730,0.932,0.958,255,237.775
25,4,3.730,0.932,0.958,255,237.775
26,4,3.730,0.932,0.958,255,237.775
27,4,3.730,0.932,0.958,255,237.775
28,4,3.730,0.932,0.958,255,237.775
29,4,3.730,0.932,0.958,255,237.775
30,4,3.730,0.932,0.958,255,237.775
31,7,4.462,0.637,1.434,255,162.551
32,2,1.682,0.841,0.497,255,214.430
33,2,1.539,0.770,0.686,255,196.272
34,7,7.731,1.104,1.466,255,281.624
35,11,8.490,0.772,1.650,255,196.822
