Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,12,10.376,0.865,1.345,255,220.482
2,7,4.747,0.678,0.830,255,172.927
3,2,1.255,0.627,0.164,255,159.958
4,4,3.025,0.756,0.802,255,192.814
5,2,0.888,0.444,0.205,255,113.267
6,5,2.658,0.532,0.838,255,135.575
7,2,0.766,0.383,0.240,255,97.704
8,8,3.994,0.499,0.919,255,127.318
9,7,3.364,0.481,0.712,255,122.531
10,5,2.401,0.480,0.591,255,122.432
11,4,1.994,0.498,0.740,255,127.101
12,2,1.546,0.773,0.551,255,197.137
13,4,2.828,0.707,0.647,255,180.276
14,5,1.600,0.320,0.333,255,81.622
15,3,3.886,1.295,1.195,255,330.291
16,2,1.614,0.807,0.365,255,205.783
17,7,3.520,0.503,0.629,255,128.213
18,2,0.773,0.387,0.172,255,98.568
19,7,3.540,0.506,0.961,255,128.954
20,3,1.295,0.432,0.289,255,110.097
21,1,0.597,0.597,0.196,255,152.176
22,7,5.934,0.848,1.014,255,216.159
23,6,2.265,0.378,0.696,255,96.263
24,5,3.947,0.789,1.028,255,201.287
25,9,4.611,0.512,0.638,255,130.656
26,4,4.191,1.048,0.963,255,267.172
27,7,5.446,0.778,1.290,255,198.372
28,4,1.756,0.439,0.539,255,111.970
