Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,2,0.861,0.431,0.253,255,109.809
2,9,4.360,0.484,1.591,255,123.547
3,4,2.143,0.536,0.840,255,136.612
4,4,1.546,0.387,0.337,255,98.568
5,8,6.524,0.815,1.095,255,207.945
6,3,1.336,0.445,0.317,255,113.555
7,3,2.089,0.696,0.408,255,177.538
8,3,1.261,0.420,0.368,255,107.215
9,2,0.719,0.359,0.162,255,91.651
10,3,3.967,1.322,1.145,255,337.208
11,4,1.845,0.461,0.557,255,117.590
12,6,4.530,0.755,1.118,255,192.525
13,5,3.235,0.647,1.086,255,164.972
14,0,0.000,NaN,0.000,NaN,NaN
15,5,2.428,0.486,0.892,255,123.816
16,9,4.082,0.454,0.973,255,115.669
17,8,6.151,0.769,1.277,255,196.056
18,4,1.478,0.370,0.436,255,94.245
19,6,3.832,0.639,0.987,255,162.840
20,5,2.489,0.498,0.474,255,126.928
21,6,2.821,0.470,0.810,255,119.896
22,3,2.624,0.875,0.930,255,223.076
23,2,1.878,0.939,0.681,255,239.504
24,6,5.676,0.946,1.421,255,241.233
25,10,7.941,0.794,1.363,255,202.498
26,5,2.299,0.460,0.463,255,117.245
27,5,2.448,0.490,0.525,255,124.853
28,3,1.119,0.373,0.254,255,95.110
29,5,2.991,0.598,0.710,255,152.522
30,1,0.685,0.685,0.218,255,174.656
31,2,0.793,0.397,0.241,255,101.162
32,1,0.359,0.359,0.153,255,91.651
33,4,2.190,0.548,0.964,255,139.639
34,3,1.526,0.509,0.363,255,129.695
35,6,3.479,0.580,0.954,255,147.853
36,4,2.123,0.531,0.707,255,135.315
37,3,1.919,0.640,0.496,255,163.128
38,4,2.699,0.675,0.572,255,172.062
39,2,0.515,0.258,0.112,255,65.712
40,6,2.801,0.467,0.606,255,119.031
41,4,2.509,0.627,0.708,255,159.958
