Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,6,5.154,0.859,1.474,255,219.041
2,14,7.907,0.565,1.188,255,144.024
3,8,3.832,0.479,0.917,255,122.130
4,11,10.776,0.980,1.898,255,249.801
5,9,5.059,0.562,1.210,255,143.337
6,5,5.351,1.070,1.846,255,272.879
7,5,3.832,0.766,0.979,255,195.408
8,0,0.000,NaN,0.000,NaN,NaN
9,7,6.775,0.968,2.043,255,246.792
10,9,5.066,0.563,1.017,255,143.529
11,7,5.690,0.813,1.364,255,207.265
12,7,3.540,0.506,0.649,255,128.954
13,7,6.158,0.880,1.904,255,224.311
14,4,5.079,1.270,0.929,255,323.806
15,5,2.218,0.444,0.537,255,113.094
16,6,3.615,0.602,0.564,255,153.617
17,2,1.845,0.922,0.454,255,235.181
18,12,8.389,0.699,2.119,255,178.259
19,4,2.407,0.602,0.979,255,153.473
20,9,9.982,1.109,1.829,255,282.832
21,4,2.224,0.556,0.625,255,141.800
22,3,1.255,0.418,0.357,255,106.638
