Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,1,0.258,0.258,0.029,255,65.712
2,0,0.000,NaN,0.000,NaN,NaN
3,1,0.326,0.326,0.042,255,83.005
4,0,0.000,NaN,0.000,NaN,NaN
5,1,0.543,0.543,0.133,255,138.342
6,1,1.153,1.153,0.157,255,293.976
7,1,0.373,0.373,0.046,255,95.110
8,0,0.000,NaN,0.000,NaN,NaN
9,0,0.000,NaN,0.000,NaN,NaN
10,0,0.000,NaN,0.000,NaN,NaN
11,0,0.000,NaN,0.000,NaN,NaN
12,0,0.000,NaN,0.000,NaN,NaN
13,1,0.827,0.827,0.136,255,210.971
14,0,0.000,NaN,0.000,NaN,NaN
15,1,1.343,1.343,0.312,255,342.396
16,0,0.000,NaN,0.000,NaN,NaN
17,0,0.000,NaN,0.000,NaN,NaN
18,0,0.000,NaN,0.000,NaN,NaN
19,0,0.000,NaN,0.000,NaN,NaN
20,0,0.000,NaN,0.000,NaN,NaN
21,1,0.312,0.312,0.061,255,79.546
22,0,0.000,NaN,0.000,NaN,NaN
23,0,0.000,NaN,0.000,NaN,NaN
24,0,0.000,NaN,0.000,NaN,NaN
25,1,0.312,0.312,0.097,255,79.546
26,0,0.000,NaN,0.000,NaN,NaN
27,0,0.000,NaN,0.000,NaN,NaN
28,0,0.000,NaN,0.000,NaN,NaN
29,0,0.000,NaN,0.000,NaN,NaN
30,0,0.000,NaN,0.000,NaN,NaN
31,0,0.000,NaN,0.000,NaN,NaN
32,0,0.000,NaN,0.000,NaN,NaN
33,1,0.468,0.468,0.068,255,119.320
34,0,0.000,NaN,0.000,NaN,NaN
35,0,0.000,NaN,0.000,NaN,NaN
36,0,0.000,NaN,0.000,NaN,NaN
37,0,0.000,NaN,0.000,NaN,NaN
38,0,0.000,NaN,0.000,NaN,NaN
