Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,1,0.848,0.848,0.143,255,216.159
2,4,1.668,0.417,0.521,255,106.350
3,1,2.190,2.190,0.792,255,558.554
4,1,0.454,0.454,0.106,255,115.861
5,3,1.031,0.344,0.267,255,87.616
6,7,9.291,1.327,1.305,255,338.443
7,11,7.799,0.709,1.321,255,180.787
8,4,1.784,0.446,0.376,255,113.700
9,9,6.212,0.690,1.122,255,176.001
10,10,5.981,0.598,1.098,255,152.522
11,4,1.831,0.458,0.590,255,116.726
12,2,2.733,1.366,0.618,255,348.448
13,3,2.001,0.667,0.513,255,170.045
14,10,6.171,0.617,1.843,255,157.364
15,8,6.531,0.816,1.700,255,208.161
16,6,5.337,0.890,1.320,255,226.823
