Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,1,2.923,2.923,0.197,255,745.315
2,1,0.624,0.624,0.041,255,159.093
3,0,0.000,NaN,0.000,NaN,NaN
4,0,0.000,NaN,0.000,NaN,NaN
5,0,0.000,NaN,0.000,NaN,NaN
6,2,2.557,1.278,0.220,255,325.967
7,0,0.000,NaN,0.000,NaN,NaN
8,1,0.359,0.359,0.062,255,91.651
9,0,0.000,NaN,0.000,NaN,NaN
10,1,1.322,1.322,0.146,255,337.208
11,0,0.000,NaN,0.000,NaN,NaN
12,0,0.000,NaN,0.000,NaN,NaN
13,0,0.000,NaN,0.000,NaN,NaN
14,0,0.000,NaN,0.000,NaN,NaN
15,0,0.000,NaN,0.000,NaN,NaN
16,0,0.000,NaN,0.000,NaN,NaN
17,0,0.000,NaN,0.000,NaN,NaN
