Slice,Count,Total Area,Average Size,%Area,Mean,IntDen
1,2,1.166,0.583,0.214,255,148.717
2,2,2.068,1.034,0.361,255,263.714
3,4,1.756,0.439,0.390,255,111.970
4,7,6.531,0.933,1.039,255,237.898
5,5,2.523,0.505,0.845,255,128.658
6,6,2.170,0.362,0.656,255,92.228
7,5,3.492,0.698,0.787,255,178.115
8,2,0.773,0.387,0.200,255,98.568
9,4,2.360,0.590,0.467,255,150.447
10,6,4.259,0.710,0.832,255,180.997
11,3,1.919,0.640,0.578,255,163.128
12,4,1.994,0.498,0.467,255,127.101
13,3,1.553,0.518,0.444,255,132.001
14,2,1.438,0.719,0.474,255,183.303
15,13,7.934,0.610,0.846,255,155.634
16,4,2.041,0.510,0.323,255,130.128
17,7,3.072,0.439,0.599,255,111.908
18,5,2.075,0.415,0.495,255,105.831
19,3,3.879,1.293,0.844,255,329.714
20,5,3.920,0.784,1.014,255,199.904
21,0,0.000,NaN,0.000,NaN,NaN
22,4,1.702,0.426,0.599,255,108.512
23,4,3.357,0.839,1.118,255,213.997
24,3,2.082,0.694,0.371,255,176.962
25,1,0.373,0.373,0.082,255,95.110
26,5,2.082,0.416,0.528,255,106.177
27,4,5.167,1.292,1.391,255,329.426
28,3,1.553,0.518,0.289,255,132.001
29,6,3.160,0.527,0.621,255,134.307
30,3,1.092,0.364,0.229,255,92.804
31,7,4.503,0.643,1.009,255,164.034
32,7,4.001,0.572,1.134,255,145.753
33,7,6.307,0.901,0.896,255,229.746
34,6,3.553,0.592,0.940,255,151.023
35,2,1.071,0.536,0.222,255,136.612
36,1,0.807,0.807,0.184,255,205.783
37,2,0.665,0.332,0.208,255,84.734
38,0,0.000,NaN,0.000,NaN,NaN
39,3,2.136,0.712,0.466,255,181.573
40,4,2.340,0.585,0.494,255,149.150
41,3,1.451,0.484,0.251,255,123.355
42,7,4.313,0.616,1.221,255,157.117
43,3,0.943,0.314,0.147,255,80.123
44,4,6.659,1.665,1.634,255,424.536
45,5,3.452,0.690,1.025,255,176.040
46,5,3.926,0.785,1.001,255,200.250
