Treatment,Target,EmbID,Somites,SectionID,ROI,Area,Mean,IntDen
m3Dyn1KA,TCF/Lef,20210909_Emb1,7ss,20210909_Emb1_sec4,background,20.920666666666666,7.978999999999999,169.20399999999998
m3Dyn1KA,TCF/Lef,20210909_Emb2,6ss,20210909_Emb2_sec1,Cntl,1934.8110000000001,305.885,591829.785
m3Dyn1KA,TCF/Lef,20210909_Emb2,6ss,20210909_Emb2_sec1,Expt,2277.994,271.759,619065.644
m3Dyn1KA,TCF/Lef,20210909_Emb2,6ss,20210909_Emb2_sec1,background,13.860999999999999,8.217,113.44999999999999
m3Dyn1KA,TCF/Lef,20210909_Emb2,6ss,20210909_Emb2_sec2,Cntl,2692.2870000000003,278.238,749095.623
m3Dyn1KA,TCF/Lef,20210909_Emb2,6ss,20210909_Emb2_sec2,Expt,2739.127,186.835,511765.107
m3Dyn1KA,TCF/Lef,20210909_Emb2,6ss,20210909_Emb2_sec2,background,12.933666666666667,8.029333333333334,103.84833333333334
m3Dyn1KA,TCF/Lef,20210909_Emb2,6ss,20210909_Emb2_sec3,Cntl,2115.214,393.195,831692.54
m3Dyn1KA,TCF/Lef,20210909_Emb2,6ss,20210909_Emb2_sec3,Expt,2976.4179999999997,187.37900000000002,557718.103
m3Dyn1KA,TCF/Lef,20210909_Emb2,6ss,20210909_Emb2_sec3,background,18.292666666666666,7.958666666666666,144.26433333333333
m3Dyn1KA,TCF/Lef,20210909_Emb2,6ss,20210909_Emb2_sec4,Cntl,2758.1409999999996,312.969,863212.829
m3Dyn1KA,TCF/Lef,20210909_Emb2,6ss,20210909_Emb2_sec4,Expt,2532.599,156.77100000000002,397038.674
m3Dyn1KA,TCF/Lef,20210909_Emb2,6ss,20210909_Emb2_sec4,background,15.097999999999999,8.106666666666667,120.76666666666667
m3Dyn1KA,TCF/Lef,20210909_Emb3,8ss,20210909_Emb3_sec5,Cntl,4138.758,230.167,952605.5440000001
m3Dyn1KA,TCF/Lef,20210909_Emb3,8ss,20210909_Emb3_sec5,Expt,4606.0740000000005,175.858,810016.196
m3Dyn1KA,TCF/Lef,20210909_Emb3,8ss,20210909_Emb3_sec5,background,21.17866666666667,8.007666666666665,169.22133333333332
m3Dyn1KA,TCF/Lef,20210909_Emb3,8ss,20210909_Emb3_sec6,Cntl,2941.327,410.441,1207240.838
m3Dyn1KA,TCF/Lef,20210909_Emb3,8ss,20210909_Emb3_sec6,Expt,2929.887,236.305,692347.0959999999
m3Dyn1KA,TCF/Lef,20210909_Emb3,8ss,20210909_Emb3_sec6,background,20.920666666666666,7.768000000000001,161.74966666666668
m3Dyn1KA,TCF/Lef,20210909_Emb3,8ss,20210909_Emb3_sec7,Cntl,3027.277,705.872,2136868.829
m3Dyn1KA,TCF/Lef,20210909_Emb3,8ss,20210909_Emb3_sec7,Expt,2364.8720000000003,317.168,750061.844
m3Dyn1KA,TCF/Lef,20210909_Emb3,8ss,20210909_Emb3_sec7,background,10.872666666666667,7.763666666666666,83.61433333333332
m3Dyn1KA,TCF/Lef,20210909_Emb3,8ss,20210909_Emb3_sec8,Cntl,4441.439,251.016,1114870.932
m3Dyn1KA,TCF/Lef,20210909_Emb3,8ss,20210909_Emb3_sec8,Expt,1501.8129999999999,146.955,220698.913
m3Dyn1KA,TCF/Lef,20210909_Emb3,8ss,20210909_Emb3_sec8,background,12.624666666666668,7.97,99.79466666666667
m3Dyn1KA,TCF/Lef,20210909_Emb4,8ss,20210909_Emb4_sec1,Cntl,3458.42,183.11,633270.18
m3Dyn1KA,TCF/Lef,20210909_Emb4,8ss,20210909_Emb4_sec1,Expt,3243.493,131.63,426940.335
m3Dyn1KA,TCF/Lef,20210909_Emb4,8ss,20210909_Emb4_sec1,background,19.168666666666667,7.341666666666666,137.80566666666667
m3Dyn1KA,TCF/Lef,20210909_Emb4,8ss,20210909_Emb4_sec2,Cntl,4655.0779999999995,115.821,539154.059
m3Dyn1KA,TCF/Lef,20210909_Emb4,8ss,20210909_Emb4_sec2,Expt,5358.14,105.57600000000001,565691.442
m3Dyn1KA,TCF/Lef,20210909_Emb4,8ss,20210909_Emb4_sec2,background,5.616666666666666,7.119666666666667,39.918
m3Dyn1KA,TCF/Lef,20210909_Emb4,8ss,20210909_Emb4_sec3,Cntl,3599.558,206.833,744505.9870000001
m3Dyn1KA,TCF/Lef,20210909_Emb4,8ss,20210909_Emb4_sec3,Expt,3795.42,144.84799999999998,549759.397
m3Dyn1KA,TCF/Lef,20210909_Emb4,8ss,20210909_Emb4_sec3,background,14.273333333333332,7.3933333333333335,105.05033333333331
m3Dyn1KA,TCF/Lef,20210909_Emb4,8ss,20210909_Emb4_sec4,Cntl,3042.5809999999997,210.218,639606.031
m3Dyn1KA,TCF/Lef,20210909_Emb4,8ss,20210909_Emb4_sec4,Expt,2542.183,120.411,306106.015
m3Dyn1KA,TCF/Lef,20210909_Emb4,8ss,20210909_Emb4_sec4,background,16.987333333333336,7.454999999999999,126.50366666666667
m3Dyn1KA,TCF/Lef,20210909_Emb5,8ss,20210909_Emb5_sec1,Cntl,1821.344,420.841,766496.915
m3Dyn1KA,TCF/Lef,20210909_Emb5,8ss,20210909_Emb5_sec1,Expt,2207.502,268.004,591619.856
m3Dyn1KA,TCF/Lef,20210909_Emb5,8ss,20210909_Emb5_sec1,background,27.877333333333336,7.304666666666666,203.12733333333333
m3Dyn1KA,TCF/Lef,20210909_Emb5,8ss,20210909_Emb5_sec2,Cntl,4105.522,268.95099999999996,1104183.7659999998
m3Dyn1KA,TCF/Lef,20210909_Emb5,8ss,20210909_Emb5_sec2,Expt,2852.748,260.193,742265.248
m3Dyn1KA,TCF/Lef,20210909_Emb5,8ss,20210909_Emb5_sec2,background,21.745333333333335,7.205333333333333,158.02233333333334
m3Dyn1KA,TCF/Lef,20210909_Emb5,8ss,20210909_Emb5_sec3,Cntl,3095.914,264.562,819059.6379999999
m3Dyn1KA,TCF/Lef,20210909_Emb5,8ss,20210909_Emb5_sec3,Expt,2705.8390000000004,244.358,661194.7760000001
m3Dyn1KA,TCF/Lef,20210909_Emb5,8ss,20210909_Emb5_sec3,background,14.737333333333334,7.271,107.42066666666669
m3Dyn1KA,TCF/Lef,20210909_Emb5,8ss,20210909_Emb5_sec4,Cntl,3198.405,202.997,649266.0179999999
m3Dyn1KA,TCF/Lef,20210909_Emb5,8ss,20210909_Emb5_sec4,Expt,2724.905,138.719,377996.029
m3Dyn1KA,TCF/Lef,20210909_Emb5,8ss,20210909_Emb5_sec4,background,26.176666666666666,7.424333333333333,193.78333333333333
m3Dyn1KA,TCF/Lef,20210909_Emb6,8ss,20210909_Emb6_sec1,Cntl,4504.665,247.764,1116092.015
m3Dyn1KA,TCF/Lef,20210909_Emb6,8ss,20210909_Emb6_sec1,Expt,4083.8790000000004,172.18099999999998,703167.98
m3Dyn1KA,TCF/Lef,20210909_Emb6,8ss,20210909_Emb6_sec1,background,21.590999999999998,7.883333333333333,168.998
m3Dyn1KA,TCF/Lef,20210909_Emb6,8ss,20210909_Emb6_sec2,Cntl,5538.543000000001,282.11,1562480.7340000002
m3Dyn1KA,TCF/Lef,20210909_Emb6,8ss,20210909_Emb6_sec2,Expt,4665.59,137.187,640060.466
m3Dyn1KA,TCF/Lef,20210909_Emb6,8ss,20210909_Emb6_sec2,background,12.366999999999999,8.048,98.79833333333333
m3Dyn1KA,TCF/Lef,20210909_Emb6,8ss,20210909_Emb6_sec3,Cntl,6071.714,290.363,1763002.333
m3Dyn1KA,TCF/Lef,20210909_Emb6,8ss,20210909_Emb6_sec3,Expt,5117.603,129.235,661371.881
m3Dyn1KA,TCF/Lef,20210909_Emb6,8ss,20210909_Emb6_sec3,background,16.076999999999998,7.023000000000001,113.84499999999998
m3Dyn1KA,TCF/Lef,20210909_Emb6,8ss,20210909_Emb6_sec4,Cntl,4266.601,237.358,1012711.495
m3Dyn1KA,TCF/Lef,20210909_Emb6,8ss,20210909_Emb6_sec4,Expt,3937.64,107.64399999999999,423863.847
m3Dyn1KA,TCF/Lef,20210909_Emb6,8ss,20210909_Emb6_sec4,background,18.911333333333335,7.4526666666666666,138.18333333333334
m3Dyn1KA,TCF/Lef,20210909_Emb6,8ss,20210909_Emb6_sec5,Cntl,1958.7720000000002,118.302,231727.45899999997
m3Dyn1KA,TCF/Lef,20210909_Emb6,8ss,20210909_Emb6_sec5,Expt,2304.119,99.771,229883.18399999998
m3Dyn1KA,TCF/Lef,20210909_Emb6,8ss,20210909_Emb6_sec5,background,25.97066666666667,7.234333333333333,186.77533333333335
m3Dyn1KA,TCF/Lef,20210909_Emb7,6ss,20210909_Emb7_sec1,Cntl,1689.481,111.354,188130.988
m3Dyn1KA,TCF/Lef,20210909_Emb7,6ss,20210909_Emb7_sec1,Expt,1530.411,180.889,276834.09
m3Dyn1KA,TCF/Lef,20210909_Emb7,6ss,20210909_Emb7_sec1,background,22.209000000000003,7.403333333333333,163.965
m3Dyn1KA,TCF/Lef,20210909_Emb7,6ss,20210909_Emb7_sec2,Cntl,2067.137,130.404,269562.988
m3Dyn1KA,TCF/Lef,20210909_Emb7,6ss,20210909_Emb7_sec2,Expt,1855.3529999999998,108.11,200581.579
m3Dyn1KA,TCF/Lef,20210909_Emb7,6ss,20210909_Emb7_sec2,background,20.66333333333333,7.515666666666667,153.986
m3Dyn1KA,TCF/Lef,20210909_Emb7,6ss,20210909_Emb7_sec3,Cntl,1866.329,175.386,327328.234
m3Dyn1KA,TCF/Lef,20210909_Emb7,6ss,20210909_Emb7_sec3,Expt,1999.171,102.637,205189.612
m3Dyn1KA,TCF/Lef,20210909_Emb7,6ss,20210909_Emb7_sec3,background,19.993000000000002,7.367999999999999,146.669
m3Dyn1KA,TCF/Lef,20210909_Emb7,6ss,20210909_Emb7_sec4,Cntl,1897.71,140.039,265754.222
m3Dyn1KA,TCF/Lef,20210909_Emb7,6ss,20210909_Emb7_sec4,Expt,2551.149,90.654,231272.355
m3Dyn1KA,TCF/Lef,20210909_Emb7,6ss,20210909_Emb7_sec4,background,24.630666666666666,7.458333333333333,183.73533333333333
m3Dyn1KA,TCF/Lef,20210909_Emb8,9ss,20210909_Emb8_sec1,Cntl,4424.898,238.40599999999998,1054922.145
m3Dyn1KA,TCF/Lef,20210909_Emb8,9ss,20210909_Emb8_sec1,Expt,4070.43,253.84,1033239.875
m3Dyn1KA,TCF/Lef,20210909_Emb8,9ss,20210909_Emb8_sec1,background,24.528000000000002,7.56,183.99300000000002
m3Dyn1KA,TCF/Lef,20210909_Emb8,9ss,20210909_Emb8_sec2,Cntl,4585.36,343.911,1576957.24
m3Dyn1KA,TCF/Lef,20210909_Emb8,9ss,20210909_Emb8_sec2,Expt,4261.5,358.805,1529045.524
m3Dyn1KA,TCF/Lef,20210909_Emb8,9ss,20210909_Emb8_sec2,background,17.520333333333333,7.678333333333332,133.71766666666667
m3Dyn1KA,TCF/Lef,20210909_Emb8,9ss,20210909_Emb8_sec3,Cntl,4070.276,261.175,1063055.74
m3Dyn1KA,TCF/Lef,20210909_Emb8,9ss,20210909_Emb8_sec3,Expt,3105.8070000000002,342.12,1062560.031
m3Dyn1KA,TCF/Lef,20210909_Emb8,9ss,20210909_Emb8_sec3,background,10.821,7.452333333333333,80.66033333333333
m3Dyn1KA,TCF/Lef,20210909_Emb8,9ss,20210909_Emb8_sec4,Cntl,4082.333,373.88800000000003,1526334.995
m3Dyn1KA,TCF/Lef,20210909_Emb8,9ss,20210909_Emb8_sec4,Expt,4405.73,346.686,1527404.325
m3Dyn1KA,TCF/Lef,20210909_Emb8,9ss,20210909_Emb8_sec4,background,23.394000000000002,7.571000000000001,177.63766666666666
m3Dyn1KA,TCF/Lef,20210909_Emb8,9ss,20210909_Emb8_sec5,Cntl,2993.577,160.84,481487.904
m3Dyn1KA,TCF/Lef,20210909_Emb8,9ss,20210909_Emb8_sec5,Expt,4118.352,166.7,686529.4720000001
m3Dyn1KA,TCF/Lef,20210909_Emb8,9ss,20210909_Emb8_sec5,background,8.141666666666667,7.185666666666666,58.96633333333333
m3Dyn1KA,TCF/Lef,20210909_Emb8,9ss,20210909_Emb8_sec6,Cntl,2008.549,149.609,300497.238
m3Dyn1KA,TCF/Lef,20210909_Emb8,9ss,20210909_Emb8_sec6,Expt,1700.457,307.41200000000003,522740.784
m3Dyn1KA,TCF/Lef,20210909_Emb8,9ss,20210909_Emb8_sec6,background,17.468333333333334,7.392666666666667,127.96366666666667
