 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,H2BRFP:background,49.932,5.721,0,21,285.677,5544.000
2,H2BRFP:background,30.917,5.640,0,17,174.374,3384.000
3,H2BRFP:background,35.246,5.784,0,16,203.849,3956.000
4,H2BRFP:Cntl,3251.790,150.900,0,2133,490694.460,9522684.000
5,H2BRFP:Expt,3080.353,143.694,0,1428,442628.614,8589892.000
6,BREGFP:background,49.932,6.148,0,19,306.958,5957.000
7,BREGFP:background,30.917,6.242,0,15,192.976,3745.000
8,BREGFP:background,35.246,6.028,0,17,212.454,4123.000
9,BREGFP:Cntl,3251.790,495.957,0,4434,1612748.349,31297873.000
10,BREGFP:Expt,3080.353,271.287,0,3673,835658.806,16217250.000
