 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,H2BRFP:background,27.362,5.998,0,17,164.120,3185
2,H2BRFP:background,45.758,5.795,0,21,265.168,5146
3,H2BRFP:background,28.753,5.815,0,15,167.212,3245
4,H2BRFP:Cntl,3493.564,239.271,0,3971,835908.773,16222101
5,H2BRFP:Expt,2658.536,279.633,0,5362,743413.173,14427081
6,BREGFP:background,27.362,6.721,0,17,183.907,3569
7,BREGFP:background,45.758,6.538,0,20,299.177,5806
8,BREGFP:background,28.753,6.674,0,21,191.894,3724
9,BREGFP:Cntl,3493.564,241.561,0,7987,843909.270,16377363
10,BREGFP:Expt,2658.536,380.224,0,2938,1010838.573,19616884
