 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,H2BRFP:background,26.434,5.409,0,17,142.993,2775
2,H2BRFP:background,38.441,5.645,0,16,216.989,4211
3,H2BRFP:background,19.633,5.470,0,18,107.386,2084
4,H2BRFP:Cntl,6185.181,212.871,0,3191,1316643.913,25551509
5,H2BRFP:Expt,4683.368,190.698,0,3501,893111.228,17332203
6,BREGFP:background,26.434,5.509,0,16,145.621,2826
7,BREGFP:background,38.441,5.716,0,17,219.720,4264
8,BREGFP:background,19.633,5.877,0,15,115.373,2239
9,BREGFP:Cntl,6185.181,162.529,0,3339,1005269.164,19508801
10,BREGFP:Expt,4683.368,121.552,0,4875,569272.436,11047611
