 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,H2BRFP:background,32.463,6.452,0,18,209.465,4065.000
2,H2BRFP:background,41.429,6.563,0,20,271.919,5277.000
3,H2BRFP:background,87.960,6.336,0,22,557.286,10815.000
4,H2BRFP:Cntl,5111.575,178.243,0,2393,911103.508,17681371.000
5,H2BRFP:Expt,5127.806,227.562,0,5837,1166891.546,22645333.000
6,BREGFP:background,32.463,6.916,0,19,224.512,4357.000
7,BREGFP:background,41.429,6.904,0,19,286.038,5551.000
8,BREGFP:background,87.960,6.841,0,21,601.756,11678.000
9,BREGFP:Cntl,5111.575,276.343,0,8433,1412549.290,27412701.000
10,BREGFP:Expt,5127.806,165.853,0,2681,850462.214,16504533.000
