 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,H2BRFP:background,12.367,5.871,0,15,72.604,1409.000
2,H2BRFP:background,23.961,5.791,0,16,138.768,2693.000
3,H2BRFP:background,31.845,5.786,0,15,184.268,3576.000
4,H2BRFP:Cntl,4400.783,125.208,0,2442,551013.390,10693266.000
5,H2BRFP:Expt,3876.270,196.832,0,3410,762973.584,14806681.000
6,BREGFP:background,12.367,6.475,0,19,80.076,1554.000
7,BREGFP:background,23.961,6.327,0,18,151.598,2942.000
8,BREGFP:background,31.845,6.413,0,21,204.209,3963.000
9,BREGFP:Cntl,4400.783,115.460,0,5296,508114.924,9860755.000
10,BREGFP:Expt,3876.270,31.639,0,427,122641.616,2380050.000
