 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,H2BRFP:background,36.019,5.800,0,19,208.899,4054.000
2,H2BRFP:background,49.622,5.750,0,20,285.316,5537.000
3,H2BRFP:background,64.772,5.602,0,17,362.867,7042.000
4,H2BRFP:Cntl,6050.382,138.013,0,2045,835030.409,16205055.000
5,H2BRFP:Expt,4536.665,140.178,0,2202,635939.018,12341379.000
6,BREGFP:background,36.019,5.668,0,16,204.158,3962.000
7,BREGFP:background,49.622,5.860,0,19,290.778,5643.000
8,BREGFP:background,64.772,5.725,0,19,370.803,7196.000
9,BREGFP:Cntl,6050.382,43.300,0,503,261981.000,5084146.000
10,BREGFP:Expt,4536.665,16.973,0,270,76998.869,1494282.000
