 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,H2BRFP:background,37.255,6.685,0,19,249.040,4833.000
2,H2BRFP:background,46.840,6.552,0,23,306.907,5956.000
3,H2BRFP:background,47.613,6.582,0,20,313.399,6082.000
4,H2BRFP:Cntl,4510.540,149.479,0,2635,674232.130,13084516.000
5,H2BRFP:Expt,4327.200,218.819,0,3023,946871.957,18375513.000
6,BREGFP:background,37.255,6.455,0,17,240.486,4667.000
7,BREGFP:background,46.840,6.711,0,24,314.327,6100.000
8,BREGFP:background,47.613,6.663,0,22,317.264,6157.000
9,BREGFP:Cntl,4510.540,215.785,0,4277,973304.689,18888481.000
10,BREGFP:Expt,4327.200,129.051,0,1774,558430.217,10837201.000
