 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,H2BRFP:background,34.009,5.720,0,19,194.522,3775.000
2,H2BRFP:background,43.903,5.818,0,18,255.429,4957.000
3,H2BRFP:background,72.501,5.736,0,20,415.839,8070.000
4,H2BRFP:Cntl,5036.291,124.157,0,1751,625292.249,12134762.000
5,H2BRFP:Expt,4857.433,125.023,0,2169,607291.878,11785437.000
6,BREGFP:background,34.009,5.948,0,18,202.303,3926.000
7,BREGFP:background,43.903,6.117,0,18,268.569,5212.000
8,BREGFP:background,72.501,5.859,0,17,424.805,8244.000
9,BREGFP:Cntl,5036.291,121.156,0,1498,610174.668,11841382.000
10,BREGFP:Expt,4857.433,72.023,0,1425,349848.625,6789353.000
