 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Sox9:background,225.079,28.276,24,33,6364.244,30877.000
2,Sox9:background,247.339,28.273,24,33,6992.898,33927.000
3,Sox9:background,223.842,28.378,24,34,6352.083,30818.000
4,Sox9:Cntl,21258.186,89.094,33,508,1893978.076,9188894.000
5,Sox9:Expt,19595.036,57.322,35,340,1123217.806,5449445.000
6,Msx1:background,225.079,35.004,31,41,7878.578,38224.000
7,Msx1:background,247.339,32.977,28,37,8156.422,39572.000
8,Msx1:background,223.842,33.603,29,38,7521.791,36493.000
9,Msx1:Cntl,21258.186,307.022,82,1494,6526722.295,31665287.000
10,Msx1:Expt,19595.036,310.916,88,1380,6092409.294,29558158.000
