 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Sox9:background,98.317,26.589,23,31,2614.169,12683.000
2,Sox9:background,204.673,26.344,23,31,5391.995,26160.000
3,Sox9:background,247.958,26.501,22,31,6571.184,31881.000
4,Sox9:Cntl,21012.083,363.043,50,1339,7628282.874,37009659.000
5,Sox9:Expt,14998.237,143.132,47,834,2146729.264,10415151.000
6,Msx1:background,98.317,31.203,27,35,3067.831,14884.000
7,Msx1:background,204.673,33.217,29,38,6798.530,32984.000
8,Msx1:background,247.958,30.720,27,36,7617.223,36956.000
9,Msx1:Cntl,21012.083,287.385,73,1043,6038560.253,29296902.000
10,Msx1:Expt,14998.237,252.437,70,1126,3786109.146,18368827.000
