 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,40.966,8.883,363.898,7062.000
2,H2BRFP:background,20.096,8.631,173.447,3366.000
3,H2BRFP:background,23.497,8.325,195.604,3796.000
4,H2BRFP:Cntl,5374.062,49.816,267712.684,5195379.000
5,H2BRFP:Expt,3979.379,45.110,179510.650,3483682.000
6,Snai2:background,40.966,28.501,1167.544,22658.000
7,Snai2:background,20.096,26.413,530.800,10301.000
8,Snai2:background,23.497,27.303,641.536,12450.000
9,Snai2:Cntl,5374.062,146.866,789266.756,15316943.000
10,Snai2:Expt,3979.379,142.615,567519.949,11013603.000
