 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Sox9:background,145.312,27.434,24,30,3986.490,19341.000
2,Sox9:background,74.820,27.694,24,31,2072.084,10053.000
3,Sox9:background,166.954,27.451,24,31,4582.989,22235.000
4,Sox9:Cntl,21264.163,75.267,37,260,1600481.053,7764953.000
5,Sox9:Expt,21959.599,49.342,36,181,1083531.613,5256902.000
6,Msx1:background,145.312,29.102,26,33,4228.882,20517.000
7,Msx1:background,74.820,29.317,26,33,2193.486,10642.000
8,Msx1:background,166.954,29.146,25,33,4865.987,23608.000
9,Msx1:Cntl,21264.163,240.299,83,876,5109756.005,24790681.000
10,Msx1:Expt,21959.599,203.893,75,632,4477397.888,21722709.000
