 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Sox9:background,320.304,32.094,28,37,10279.829,49874.000
2,Sox9:background,218.895,31.447,27,36,6883.656,33397.000
3,Sox9:background,311.029,32.028,27,37,9961.792,48331.000
4,Sox9:Cntl,18225.189,362.223,59,1567,6601584.863,32028493.000
5,Sox9:Expt,16438.369,166.008,43,835,2728896.898,13239617.000
6,Msx1:background,320.304,57.212,50,66,18325.155,88907.000
7,Msx1:background,218.895,56.685,46,68,12407.977,60199.000
8,Msx1:background,311.029,58.268,50,67,18122.955,87926.000
9,Msx1:Cntl,18225.189,288.351,103,1214,5255255.557,25496592.000
10,Msx1:Expt,16438.369,345.695,85,1282,5682654.809,27570178.000
