,ExptDate,Embryo,Stain,Cntl IntDen,Expt IntDen,Expt/Cntl IntDen,Norm Cntl IntDen,Norm Expt IntDen,Embryo ID
0,20200619,Emb1,SMPD3,119089530.16,80147020.05399999,0.6729980372440827,0.3081081325450442,0.20735616846175442,20200619Emb1
1,20200619,Emb2,SMPD3,396321832.931,312083638.208,0.7874500274183331,1.025362848162566,0.8074220028993528,20200619Emb2
2,20200619,Emb3,SMPD3,668289930.247,391103921.57199997,0.5852309063334951,1.7289980246829535,1.0118630810340274,20200619Emb3
3,20200619,Emb4,SMPD3,241345982.665,146100504.70299998,0.6053571022385511,0.6244097186062973,0.37799085786509723,20200619Emb4
4,20200619,Emb5,SMPD3,507545823.314,324916176.678,0.6401711170756423,1.313121276003139,0.8406223141147223,20200619Emb5
0,20200609,Emb2,SMPD3,119779874.49,104337699.27200001,0.8710787159883926,0.9843575202384314,0.8574528848028109,20200609Emb2
1,20200609,Emb3,SMPD3,123586731.702,81225215.395,0.6572324898991202,1.0156424797615686,0.6675132358210125,20200609Emb3
